count,day,year,community_area,primary_type
1,1,2007,1,03
3,1,2007,1,06
1,1,2007,1,07
10,1,2007,1,08B
1,1,2007,1,10
3,1,2007,1,14
1,1,2007,1,18
2,1,2007,1,26
4,1,2007,2,05
4,1,2007,2,06
1,1,2007,2,08A
5,1,2007,2,08B
1,1,2007,2,11
1,1,2007,2,14
2,1,2007,2,18
1,1,2007,2,24
1,1,2007,3,04B
1,1,2007,3,05
4,1,2007,3,06
1,1,2007,3,07
5,1,2007,3,08B
6,1,2007,3,11
2,1,2007,3,14
1,1,2007,3,17
1,1,2007,4,02
1,1,2007,4,05
6,1,2007,4,06
3,1,2007,4,08B
1,1,2007,4,14
1,1,2007,4,18
2,1,2007,5,06
1,1,2007,5,07
1,1,2007,5,08A
2,1,2007,5,14
3,1,2007,6,05
13,1,2007,6,06
1,1,2007,6,07
1,1,2007,6,08A
5,1,2007,6,08B
3,1,2007,6,11
4,1,2007,6,14
1,1,2007,6,18
3,1,2007,6,26
1,1,2007,7,02
2,1,2007,7,03
2,1,2007,7,04B
2,1,2007,7,05
11,1,2007,7,06
1,1,2007,7,07
4,1,2007,7,08B
1,1,2007,7,12
7,1,2007,7,14
1,1,2007,7,18
1,1,2007,8,02
1,1,2007,8,03
2,1,2007,8,04B
21,1,2007,8,06
1,1,2007,8,07
1,1,2007,8,08A
30,1,2007,8,08B
5,1,2007,8,11
5,1,2007,8,14
1,1,2007,8,18
6,1,2007,8,26
1,1,2007,9,06
7,1,2007,10,06
1,1,2007,10,08A
1,1,2007,10,08B
4,1,2007,10,14
1,1,2007,10,26
6,1,2007,11,06
1,1,2007,11,08B
2,1,2007,11,14
1,1,2007,11,26
2,1,2007,12,06
1,1,2007,12,11
1,1,2007,12,26
2,1,2007,13,08B
1,1,2007,13,17
1,1,2007,13,20
1,1,2007,14,02
1,1,2007,14,03
1,1,2007,14,04B
3,1,2007,14,06
1,1,2007,14,07
1,1,2007,14,08A
4,1,2007,14,08B
1,1,2007,14,15
2,1,2007,14,26
1,1,2007,15,04B
3,1,2007,15,05
4,1,2007,15,06
1,1,2007,15,07
2,1,2007,15,08A
5,1,2007,15,08B
1,1,2007,15,10
1,1,2007,15,11
5,1,2007,15,14
1,1,2007,15,18
2,1,2007,15,20
1,1,2007,15,26
1,1,2007,16,03
1,1,2007,16,04B
8,1,2007,16,06
4,1,2007,16,08B
4,1,2007,16,14
1,1,2007,16,18
2,1,2007,16,20
1,1,2007,16,26
4,1,2007,17,06
1,1,2007,17,07
4,1,2007,17,08B
1,1,2007,17,11
2,1,2007,17,12
3,1,2007,17,14
1,1,2007,17,18
1,1,2007,17,20
4,1,2007,17,26
4,1,2007,18,06
1,1,2007,18,08B
1,1,2007,18,11
1,1,2007,18,20
4,1,2007,19,02
2,1,2007,19,04B
3,1,2007,19,05
16,1,2007,19,06
1,1,2007,19,07
2,1,2007,19,08A
10,1,2007,19,08B
1,1,2007,19,11
7,1,2007,19,14
1,1,2007,19,17
2,1,2007,19,18
1,1,2007,19,20
1,1,2007,20,05
3,1,2007,20,06
4,1,2007,20,08B
1,1,2007,20,14
2,1,2007,20,20
2,1,2007,21,03
1,1,2007,21,04B
1,1,2007,21,06
2,1,2007,21,08B
2,1,2007,21,11
3,1,2007,21,14
1,1,2007,21,20
2,1,2007,21,26
1,1,2007,22,02
1,1,2007,22,04B
1,1,2007,22,05
8,1,2007,22,06
1,1,2007,22,08A
7,1,2007,22,08B
2,1,2007,22,11
3,1,2007,22,14
1,1,2007,22,17
1,1,2007,22,18
2,1,2007,22,26
1,1,2007,23,03
1,1,2007,23,04A
3,1,2007,23,04B
10,1,2007,23,06
1,1,2007,23,07
1,1,2007,23,08A
10,1,2007,23,08B
1,1,2007,23,11
7,1,2007,23,14
5,1,2007,23,15
1,1,2007,23,18
2,1,2007,23,20
2,1,2007,23,26
3,1,2007,24,02
3,1,2007,24,03
1,1,2007,24,04A
3,1,2007,24,05
17,1,2007,24,06
2,1,2007,24,07
1,1,2007,24,08A
9,1,2007,24,08B
3,1,2007,24,14
1,1,2007,24,16
1,1,2007,24,18
2,1,2007,24,26
1,1,2007,25,01A
7,1,2007,25,02
1,1,2007,25,03
1,1,2007,25,04A
3,1,2007,25,04B
3,1,2007,25,05
29,1,2007,25,06
5,1,2007,25,07
2,1,2007,25,08A
15,1,2007,25,08B
4,1,2007,25,11
16,1,2007,25,14
5,1,2007,25,15
17,1,2007,25,18
1,1,2007,25,20
2,1,2007,25,24
11,1,2007,25,26
2,1,2007,26,02
2,1,2007,26,03
1,1,2007,26,04B
5,1,2007,26,06
1,1,2007,26,08B
2,1,2007,26,14
1,1,2007,26,15
1,1,2007,26,16
4,1,2007,26,18
2,1,2007,26,20
1,1,2007,26,26
1,1,2007,27,04B
6,1,2007,27,06
1,1,2007,27,08B
1,1,2007,27,11
3,1,2007,27,14
2,1,2007,27,18
2,1,2007,27,26
2,1,2007,28,04A
10,1,2007,28,06
1,1,2007,28,07
1,1,2007,28,08A
9,1,2007,28,08B
2,1,2007,28,14
1,1,2007,28,17
1,1,2007,28,18
1,1,2007,28,20
3,1,2007,28,26
3,1,2007,29,02
2,1,2007,29,03
1,1,2007,29,04A
2,1,2007,29,04B
2,1,2007,29,05
10,1,2007,29,06
1,1,2007,29,07
1,1,2007,29,08A
13,1,2007,29,08B
2,1,2007,29,11
4,1,2007,29,14
1,1,2007,29,15
1,1,2007,29,17
7,1,2007,29,18
1,1,2007,29,19
1,1,2007,29,20
1,1,2007,29,24
4,1,2007,29,26
1,1,2007,30,01A
1,1,2007,30,02
2,1,2007,30,03
2,1,2007,30,04B
6,1,2007,30,06
3,1,2007,30,07
2,1,2007,30,08A
3,1,2007,30,08B
3,1,2007,30,14
1,1,2007,30,15
1,1,2007,30,17
1,1,2007,30,18
3,1,2007,30,20
1,1,2007,30,22
2,1,2007,30,26
2,1,2007,31,03
1,1,2007,31,04B
2,1,2007,31,06
2,1,2007,31,07
1,1,2007,31,08A
2,1,2007,31,08B
3,1,2007,31,14
2,1,2007,31,17
1,1,2007,31,18
4,1,2007,31,20
1,1,2007,31,26
1,1,2007,32,02
13,1,2007,32,06
4,1,2007,32,08B
1,1,2007,32,12
3,1,2007,32,14
1,1,2007,32,26
1,1,2007,33,02
2,1,2007,33,03
1,1,2007,33,06
2,1,2007,33,08B
1,1,2007,33,11
2,1,2007,33,14
1,1,2007,33,26
1,1,2007,34,03
1,1,2007,34,17
2,1,2007,35,05
1,1,2007,35,11
1,1,2007,35,12
3,1,2007,35,14
3,1,2007,35,18
2,1,2007,35,26
1,1,2007,36,06
3,1,2007,36,14
1,1,2007,36,18
1,1,2007,36,26
2,1,2007,37,08B
2,1,2007,37,14
1,1,2007,37,15
1,1,2007,37,18
1,1,2007,37,26
1,1,2007,38,02
1,1,2007,38,04B
2,1,2007,38,05
7,1,2007,38,06
1,1,2007,38,07
1,1,2007,38,08A
2,1,2007,38,11
2,1,2007,38,14
3,1,2007,39,06
1,1,2007,39,07
1,1,2007,39,14
1,1,2007,40,03
1,1,2007,40,04B
1,1,2007,40,05
1,1,2007,40,06
2,1,2007,40,08A
4,1,2007,40,08B
1,1,2007,40,11
2,1,2007,40,14
3,1,2007,40,18
1,1,2007,40,24
2,1,2007,40,26
1,1,2007,41,04B
1,1,2007,41,05
2,1,2007,41,06
1,1,2007,41,08B
2,1,2007,41,14
1,1,2007,41,26
2,1,2007,42,02
