count,year,district,primary_type
8,2007,25,12
341,2007,20,05
4,2007,8,13
2483,2007,16,26
4450,2007,8,08B
806,2007,2,07
1797,2007,20,06
390,2007,24,03
116,2007,6,02
545,2007,25,04B
62,2007,8,09
585,2007,12,03
54,2007,4,19
38,2007,6,01A
530,2007,6,04A
108,2007,25,20
301,2007,14,16
2042,2007,5,26
216,2007,25,10
3541,2007,4,14
488,2007,22,03
3914,2007,6,18
742,2007,8,04B
389,2007,22,11
20,2007,20,22
2128,2007,10,26
82,2007,25,09
6507,2007,11,18
145,2007,8,20
42,2007,11,01A
2675,2007,1,26
18,2007,20,15
489,2007,12,11
383,2007,11,04A
212,2007,8,10
1278,2007,17,26
100,2007,4,16
2239,2007,7,26
404,2007,24,11
93,2007,11,02
2,2007,8,12
63,2007,20,24
9,2007,25,13
1867,2007,19,26
3985,2007,25,08B
2194,2007,14,14
469,2007,18,07
951,2007,9,08A
641,2007,15,07
2910,2007,3,26
132,2007,9,17
5,2007,14,19
304,2007,15,16
27,2007,12,09
6350,2007,1,06
320,2007,18,16
41,2007,16,22
109,2007,9,02
1147,2007,8,03
674,2007,10,05
576,2007,25,11
2765,2007,10,06
51,2007,16,15
1219,2007,4,07
30,2007,22,09
65,2007,11,17
274,2007,1,05
1980,2007,24,08B
6,2007,24,13
83,2007,5,24
1117,2007,11,08A
1293,2007,19,05
294,2007,5,15
967,2007,17,05
2894,2007,12,08B
60,2007,16,24
1962,2007,7,05
2507,2007,9,18
2917,2007,3,06
61,2007,2,19
18,2007,12,13
22,2007,5,22
11,2007,24,09
1593,2007,3,05
3551,2007,7,06
2651,2007,17,06
4,2007,22,13
32,2007,9,01A
5974,2007,19,06
1854,2007,2,14
374,2007,9,04A
2266,2007,22,08B
854,2007,14,07
4,2007,12,12
102,2007,7,24
646,2007,16,05
103,2007,17,24
274,2007,15,19
120,2007,19,24
42,2007,1,15
75,2007,24,10
108,2007,10,22
936,2007,20,26
14,2007,18,19
211,2007,24,04B
3,2007,22,12
34,2007,1,22
58,2007,24,20
3189,2007,16,06
142,2007,10,15
1677,2007,15,14
1670,2007,18,14
202,2007,3,24
322,2007,10,24
85,2007,19,22
426,2007,12,04B
1258,2007,6,08A
335,2007,2,16
219,2007,3,15
31,2007,17,22
43,2007,12,20
97,2007,22,10
29,2007,7,22
834,2007,25,03
2565,2007,5,06
90,2007,6,17
297,2007,22,04B
1412,2007,5,05
44,2007,19,15
3,2007,24,12
793,2007,8,11
40,2007,3,22
52,2007,1,24
128,2007,12,10
70,2007,22,20
67,2007,17,15
324,2007,7,15
642,2007,18,05
7,2007,6,13
