y,name,x,z,w,primary_type
1333,Rogers Park,23.6,50,8.7,03
78,Rogers Park,23.6,50,8.7,22
264,Rogers Park,23.6,50,8.7,15
319,Rogers Park,23.6,50,8.7,24
813,Rogers Park,23.6,50,8.7,07
1398,Rogers Park,23.6,50,8.7,05
5716,Rogers Park,23.6,50,8.7,06
1379,Rogers Park,23.6,50,8.7,08A
148,Rogers Park,23.6,50,8.7,17
854,Rogers Park,23.6,50,8.7,11
4591,Rogers Park,23.6,50,8.7,08B
4,Rogers Park,23.6,50,8.7,13
3428,Rogers Park,23.6,50,8.7,26
55,Rogers Park,23.6,50,8.7,19
120,Rogers Park,23.6,50,8.7,02
3153,Rogers Park,23.6,50,8.7,14
360,Rogers Park,23.6,50,8.7,04A
23,Rogers Park,23.6,50,8.7,09
20,Rogers Park,23.6,50,8.7,01A
2965,Rogers Park,23.6,50,8.7,18
103,Rogers Park,23.6,50,8.7,20
178,Rogers Park,23.6,50,8.7,16
602,Rogers Park,23.6,50,8.7,04B
164,Rogers Park,23.6,50,8.7,10
7,Rogers Park,23.6,50,8.7,12
8,West Ridge,17.2,70,8.8,12
354,West Ridge,17.2,70,8.8,04B
47,West Ridge,17.2,70,8.8,16
108,West Ridge,17.2,70,8.8,20
159,West Ridge,17.2,70,8.8,10
9,West Ridge,17.2,70,8.8,01A
256,West Ridge,17.2,70,8.8,04A
40,West Ridge,17.2,70,8.8,09
1560,West Ridge,17.2,70,8.8,18
17,West Ridge,17.2,70,8.8,19
2394,West Ridge,17.2,70,8.8,26
10,West Ridge,17.2,70,8.8,13
3371,West Ridge,17.2,70,8.8,08B
3602,West Ridge,17.2,70,8.8,14
110,West Ridge,17.2,70,8.8,02
120,West Ridge,17.2,70,8.8,17
1060,West Ridge,17.2,70,8.8,08A
792,West Ridge,17.2,70,8.8,11
2007,West Ridge,17.2,70,8.8,05
5719,West Ridge,17.2,70,8.8,06
161,West Ridge,17.2,70,8.8,24
1139,West Ridge,17.2,70,8.8,07
800,West Ridge,17.2,70,8.8,03
50,West Ridge,17.2,70,8.8,22
136,West Ridge,17.2,70,8.8,15
966,Uptown,24,50,8.9,07
245,Uptown,24,50,8.9,24
157,Uptown,24,50,8.9,15
809,Uptown,24,50,8.9,03
60,Uptown,24,50,8.9,22
1176,Uptown,24,50,8.9,11
1235,Uptown,24,50,8.9,08A
169,Uptown,24,50,8.9,17
6758,Uptown,24,50,8.9,06
1136,Uptown,24,50,8.9,05
3295,Uptown,24,50,8.9,18
18,Uptown,24,50,8.9,01A
282,Uptown,24,50,8.9,04A
16,Uptown,24,50,8.9,09
2480,Uptown,24,50,8.9,14
136,Uptown,24,50,8.9,02
8,Uptown,24,50,8.9,13
3697,Uptown,24,50,8.9,08B
25,Uptown,24,50,8.9,19
2583,Uptown,24,50,8.9,26
11,Uptown,24,50,8.9,12
143,Uptown,24,50,8.9,10
83,Uptown,24,50,8.9,16
61,Uptown,24,50,8.9,20
464,Uptown,24,50,8.9,04B
52,Lincoln Square,10.9,30,8.2,15
47,Lincoln Square,10.9,30,8.2,22
275,Lincoln Square,10.9,30,8.2,03
740,Lincoln Square,10.9,30,8.2,07
112,Lincoln Square,10.9,30,8.2,24
3631,Lincoln Square,10.9,30,8.2,06
931,Lincoln Square,10.9,30,8.2,05
511,Lincoln Square,10.9,30,8.2,11
72,Lincoln Square,10.9,30,8.2,17
515,Lincoln Square,10.9,30,8.2,08A
50,Lincoln Square,10.9,30,8.2,02
1733,Lincoln Square,10.9,30,8.2,14
1218,Lincoln Square,10.9,30,8.2,26
6,Lincoln Square,10.9,30,8.2,19
1692,Lincoln Square,10.9,30,8.2,08B
6,Lincoln Square,10.9,30,8.2,13
676,Lincoln Square,10.9,30,8.2,18
7,Lincoln Square,10.9,30,8.2,09
107,Lincoln Square,10.9,30,8.2,04A
2,Lincoln Square,10.9,30,8.2,01A
71,Lincoln Square,10.9,30,8.2,10
129,Lincoln Square,10.9,30,8.2,04B
27,Lincoln Square,10.9,30,8.2,20
24,Lincoln Square,10.9,30,8.2,16
2,Lincoln Square,10.9,30,8.2,12
4,North Center,7.5,30,5.2,19
1034,North Center,7.5,30,5.2,26
6,North Center,7.5,30,5.2,13
952,North Center,7.5,30,5.2,08B
1484,North Center,7.5,30,5.2,14
44,North Center,7.5,30,5.2,02
3,North Center,7.5,30,5.2,01A
15,North Center,7.5,30,5.2,09
62,North Center,7.5,30,5.2,04A
365,North Center,7.5,30,5.2,18
92,North Center,7.5,30,5.2,04B
4,North Center,7.5,30,5.2,16
16,North Center,7.5,30,5.2,20
74,North Center,7.5,30,5.2,10
5,North Center,7.5,30,5.2,12
21,North Center,7.5,30,5.2,22
223,North Center,7.5,30,5.2,03
34,North Center,7.5,30,5.2,15
62,North Center,7.5,30,5.2,24
541,North Center,7.5,30,5.2,07
1201,North Center,7.5,30,5.2,05
3799,North Center,7.5,30,5.2,06
52,North Center,7.5,30,5.2,17
336,North Center,7.5,30,5.2,08A
524,North Center,7.5,30,5.2,11
186,Lake View,11.4,90,4.7,17
1030,Lake View,11.4,90,4.7,08A
2458,Lake View,11.4,90,4.7,11
2976,Lake View,11.4,90,4.7,05
15136,Lake View,11.4,90,4.7,06
272,Lake View,11.4,90,4.7,24
1456,Lake View,11.4,90,4.7,07
1502,Lake View,11.4,90,4.7,03
113,Lake View,11.4,90,4.7,22
75,Lake View,11.4,90,4.7,15
10,Lake View,11.4,90,4.7,12
391,Lake View,11.4,90,4.7,04B
104,Lake View,11.4,90,4.7,16
24,Lake View,11.4,90,4.7,20
207,Lake View,11.4,90,4.7,10
7,Lake View,11.4,90,4.7,01A
180,Lake View,11.4,90,4.7,04A
16,Lake View,11.4,90,4.7,09
1234,Lake View,11.4,90,4.7,18
5,Lake View,11.4,90,4.7,19
2680,Lake View,11.4,90,4.7,26
9,Lake View,11.4,90,4.7,13
4274,Lake View,11.4,90,4.7,08B
4164,Lake View,11.4,90,4.7,14
148,Lake View,11.4,90,4.7,02
98,Lincoln Park,12.3,60,5.1,24
1253,Lincoln Park,12.3,60,5.1,07
121,Lincoln Park,12.3,60,5.1,22
825,Lincoln Park,12.3,60,5.1,03
27,Lincoln Park,12.3,60,5.1,15
105,Lincoln Park,12.3,60,5.1,17
574,Lincoln Park,12.3,60,5.1,08A
1507,Lincoln Park,12.3,60,5.1,11
2350,Lincoln Park,12.3,60,5.1,05
13444,Lincoln Park,12.3,60,5.1,06
4,Lincoln Park,12.3,60,5.1,01A
12,Lincoln Park,12.3,60,5.1,09
118,Lincoln Park,12.3,60,5.1,04A
484,Lincoln Park,12.3,60,5.1,18
6,Lincoln Park,12.3,60,5.1,19
1766,Lincoln Park,12.3,60,5.1,26
18,Lincoln Park,12.3,60,5.1,13
2264,Lincoln Park,12.3,60,5.1,08B
3512,Lincoln Park,12.3,60,5.1,14
81,Lincoln Park,12.3,60,5.1,02
7,Lincoln Park,12.3,60,5.1,12
237,Lincoln Park,12.3,60,5.1,04B
27,Lincoln Park,12.3,60,5.1,16
31,Lincoln Park,12.3,60,5.1,20
153,Lincoln Park,12.3,60,5.1,10
26397,Near North Side,12.9,80,7,06
1313,Near North Side,12.9,80,7,05
5204,Near North Side,12.9,80,7,11
