count,weekday,year,community_area,primary_type
3,1,2007,1,02
51,1,2007,1,03
4,1,2007,1,04A
14,1,2007,1,04B
56,1,2007,1,05
207,1,2007,1,06
27,1,2007,1,07
32,1,2007,1,08A
166,1,2007,1,08B
4,1,2007,1,10
24,1,2007,1,11
1,1,2007,1,13
150,1,2007,1,14
5,1,2007,1,15
13,1,2007,1,16
7,1,2007,1,17
96,1,2007,1,18
1,1,2007,1,19
6,1,2007,1,20
4,1,2007,1,24
132,1,2007,1,26
1,1,2007,2,01A
2,1,2007,2,02
11,1,2007,2,03
10,1,2007,2,04A
13,1,2007,2,04B
51,1,2007,2,05
190,1,2007,2,06
30,1,2007,2,07
36,1,2007,2,08A
110,1,2007,2,08B
1,1,2007,2,09
7,1,2007,2,10
26,1,2007,2,11
127,1,2007,2,14
4,1,2007,2,15
6,1,2007,2,16
6,1,2007,2,17
56,1,2007,2,18
2,1,2007,2,20
5,1,2007,2,22
4,1,2007,2,24
81,1,2007,2,26
1,1,2007,3,01A
1,1,2007,3,02
24,1,2007,3,03
9,1,2007,3,04A
8,1,2007,3,04B
31,1,2007,3,05
235,1,2007,3,06
27,1,2007,3,07
40,1,2007,3,08A
135,1,2007,3,08B
1,1,2007,3,09
6,1,2007,3,10
40,1,2007,3,11
101,1,2007,3,14
6,1,2007,3,15
5,1,2007,3,16
8,1,2007,3,17
136,1,2007,3,18
1,1,2007,3,19
2,1,2007,3,22
8,1,2007,3,24
116,1,2007,3,26
1,1,2007,4,01A
2,1,2007,4,02
7,1,2007,4,03
3,1,2007,4,04A
1,1,2007,4,04B
35,1,2007,4,05
101,1,2007,4,06
16,1,2007,4,07
12,1,2007,4,08A
50,1,2007,4,08B
2,1,2007,4,10
18,1,2007,4,11
1,1,2007,4,12
58,1,2007,4,14
3,1,2007,4,16
3,1,2007,4,17
16,1,2007,4,18
1,1,2007,4,20
4,1,2007,4,24
52,1,2007,4,26
1,1,2007,5,02
11,1,2007,5,03
3,1,2007,5,04A
3,1,2007,5,04B
40,1,2007,5,05
130,1,2007,5,06
13,1,2007,5,07
17,1,2007,5,08A
27,1,2007,5,08B
4,1,2007,5,10
25,1,2007,5,11
69,1,2007,5,14
1,1,2007,5,15
1,1,2007,5,16
1,1,2007,5,17
15,1,2007,5,18
4,1,2007,5,22
1,1,2007,5,24
42,1,2007,5,26
4,1,2007,6,02
32,1,2007,6,03
6,1,2007,6,04A
10,1,2007,6,04B
97,1,2007,6,05
348,1,2007,6,06
36,1,2007,6,07
33,1,2007,6,08A
110,1,2007,6,08B
9,1,2007,6,10
72,1,2007,6,11
2,1,2007,6,13
94,1,2007,6,14
4,1,2007,6,15
1,1,2007,6,16
7,1,2007,6,17
42,1,2007,6,18
2,1,2007,6,20
6,1,2007,6,22
5,1,2007,6,24
109,1,2007,6,26
3,1,2007,7,02
24,1,2007,7,03
2,1,2007,7,04A
5,1,2007,7,04B
68,1,2007,7,05
414,1,2007,7,06
34,1,2007,7,07
23,1,2007,7,08A
68,1,2007,7,08B
6,1,2007,7,10
39,1,2007,7,11
2,1,2007,7,12
151,1,2007,7,14
4,1,2007,7,15
4,1,2007,7,17
16,1,2007,7,18
1,1,2007,7,20
2,1,2007,7,24
70,1,2007,7,26
5,1,2007,8,02
41,1,2007,8,03
8,1,2007,8,04A
35,1,2007,8,04B
40,1,2007,8,05
719,1,2007,8,06
39,1,2007,8,07
65,1,2007,8,08A
192,1,2007,8,08B
21,1,2007,8,10
127,1,2007,8,11
2,1,2007,8,12
123,1,2007,8,14
6,1,2007,8,15
12,1,2007,8,16
8,1,2007,8,17
102,1,2007,8,18
1,1,2007,8,19
7,1,2007,8,22
4,1,2007,8,24
201,1,2007,8,26
1,1,2007,9,03
1,1,2007,9,04A
2,1,2007,9,05
10,1,2007,9,06
11,1,2007,9,08B
6,1,2007,9,11
12,1,2007,9,14
1,1,2007,9,17
6,1,2007,9,26
1,1,2007,10,01A
2,1,2007,10,02
3,1,2007,10,03
1,1,2007,10,04A
1,1,2007,10,04B
10,1,2007,10,05
87,1,2007,10,06
9,1,2007,10,07
12,1,2007,10,08A
28,1,2007,10,08B
4,1,2007,10,10
14,1,2007,10,11
1,1,2007,10,12
51,1,2007,10,14
4,1,2007,10,17
5,1,2007,10,18
1,1,2007,10,24
40,1,2007,10,26
1,1,2007,11,03
14,1,2007,11,05
47,1,2007,11,06
15,1,2007,11,07
12,1,2007,11,08A
40,1,2007,11,08B
1,1,2007,11,10
11,1,2007,11,11
49,1,2007,11,14
2,1,2007,11,15
2,1,2007,11,17
9,1,2007,11,18
1,1,2007,11,20
1,1,2007,11,22
3,1,2007,11,24
40,1,2007,11,26
1,1,2007,12,03
1,1,2007,12,04A
10,1,2007,12,05
31,1,2007,12,06
5,1,2007,12,07
8,1,2007,12,08A
5,1,2007,12,08B
1,1,2007,12,10
5,1,2007,12,11
1,1,2007,12,12
20,1,2007,12,14
3,1,2007,12,18
1,1,2007,12,20
1,1,2007,12,24
9,1,2007,12,26
5,1,2007,13,03
4,1,2007,13,04A
3,1,2007,13,04B
22,1,2007,13,05
61,1,2007,13,06
13,1,2007,13,07
2,1,2007,13,08A
26,1,2007,13,08B
2,1,2007,13,10
7,1,2007,13,11
37,1,2007,13,14
1,1,2007,13,15
6,1,2007,13,17
