count,year,community_area,primary_type
3,2007,1,01A
28,2007,1,02
256,2007,1,03
76,2007,1,04A
120,2007,1,04B
364,2007,1,05
1395,2007,1,06
165,2007,1,07
253,2007,1,08A
1092,2007,1,08B
3,2007,1,09
30,2007,1,10
211,2007,1,11
3,2007,1,12
3,2007,1,13
909,2007,1,14
47,2007,1,15
96,2007,1,16
33,2007,1,17
818,2007,1,18
12,2007,1,19
31,2007,1,20
20,2007,1,22
20,2007,1,24
813,2007,1,26
5,2008,1,01A
30,2008,1,02
296,2008,1,03
70,2008,1,04A
127,2008,1,04B
299,2008,1,05
1227,2008,1,06
176,2008,1,07
322,2008,1,08A
1024,2008,1,08B
2,2008,1,09
40,2008,1,10
211,2008,1,11
2,2008,1,12
760,2008,1,14
49,2008,1,15
80,2008,1,16
32,2008,1,17
803,2008,1,18
13,2008,1,19
19,2008,1,20
14,2008,1,22
50,2008,1,24
846,2008,1,26
2,2009,1,01A
25,2009,1,02
325,2009,1,03
72,2009,1,04A
125,2009,1,04B
324,2009,1,05
1134,2009,1,06
136,2009,1,07
277,2009,1,08A
949,2009,1,08B
3,2009,1,09
49,2009,1,10
182,2009,1,11
1,2009,1,13
697,2009,1,14
49,2009,1,15
32,2009,1,16
34,2009,1,17
648,2009,1,18
16,2009,1,19
28,2009,1,20
17,2009,1,22
66,2009,1,24
768,2009,1,26
3,2010,1,01A
22,2010,1,02
259,2010,1,03
75,2010,1,04A
113,2010,1,04B
305,2010,1,05
1171,2010,1,06
184,2010,1,07
294,2010,1,08A
870,2010,1,08B
6,2010,1,09
24,2010,1,10
170,2010,1,11
1,2010,1,12
1,2010,1,13
628,2010,1,14
50,2010,1,15
31,2010,1,16
31,2010,1,17
615,2010,1,18
11,2010,1,19
21,2010,1,20
12,2010,1,22
63,2010,1,24
616,2010,1,26
4,2011,1,01A
26,2011,1,02
251,2011,1,03
64,2011,1,04A
125,2011,1,04B
258,2011,1,05
1135,2011,1,06
175,2011,1,07
223,2011,1,08A
869,2011,1,08B
7,2011,1,09
24,2011,1,10
165,2011,1,11
568,2011,1,14
43,2011,1,15
5,2011,1,16
25,2011,1,17
445,2011,1,18
9,2011,1,19
18,2011,1,20
14,2011,1,22
64,2011,1,24
602,2011,1,26
6,2012,1,01A
17,2012,1,02
202,2012,1,03
79,2012,1,04A
112,2012,1,04B
212,2012,1,05
1049,2012,1,06
142,2012,1,07
263,2012,1,08A
879,2012,1,08B
5,2012,1,09
27,2012,1,10
126,2012,1,11
4,2012,1,12
2,2012,1,13
500,2012,1,14
73,2012,1,15
30,2012,1,16
26,2012,1,17
454,2012,1,18
6,2012,1,19
17,2012,1,20
21,2012,1,22
76,2012,1,24
596,2012,1,26
4,2013,1,01A
20,2013,1,02
136,2013,1,03
65,2013,1,04A
92,2013,1,04B
187,2013,1,05
1013,2013,1,06
91,2013,1,07
240,2013,1,08A
774,2013,1,08B
5,2013,1,09
7,2013,1,10
177,2013,1,11
1,2013,1,12
536,2013,1,14
56,2013,1,15
12,2013,1,16
34,2013,1,17
347,2013,1,18
15,2013,1,20
11,2013,1,22
58,2013,1,24
545,2013,1,26
8,2014,1,01A
30,2014,1,02
117,2014,1,03
67,2014,1,04A
73,2014,1,04B
181,2014,1,05
828,2014,1,06
117,2014,1,07
197,2014,1,08A
721,2014,1,08B
1,2014,1,09
31,2014,1,10
199,2014,1,11
385,2014,1,14
40,2014,1,15
28,2014,1,16
16,2014,1,17
275,2014,1,18
13,2014,1,20
7,2014,1,22
40,2014,1,24
423,2014,1,26
6,2015,1,01A
26,2015,1,02
106,2015,1,03
51,2015,1,04A
77,2015,1,04B
166,2015,1,05
854,2015,1,06
113,2015,1,07
189,2015,1,08A
598,2015,1,08B
4,2015,1,09
28,2015,1,10
197,2015,1,11
446,2015,1,14
29,2015,1,15
10,2015,1,16
21,2015,1,17
210,2015,1,18
2,2015,1,19
15,2015,1,20
6,2015,1,22
41,2015,1,24
384,2015,1,26
5,2016,1,01A
32,2016,1,02
159,2016,1,03
65,2016,1,04A
81,2016,1,04B
183,2016,1,05
914,2016,1,06
113,2016,1,07
172,2016,1,08A
678,2016,1,08B
3,2016,1,09
21,2016,1,10
223,2016,1,11
1,2016,1,13
403,2016,1,14
34,2016,1,15
15,2016,1,16
29,2016,1,17
88,2016,1,18
29,2016,1,20
5,2016,1,22
26,2016,1,24
370,2016,1,26
8,2007,2,01A
9,2007,2,02
106,2007,2,03
57,2007,2,04A
68,2007,2,04B
