count,arrest,year,community_area,primary_type
160,44,2007,22,04B
5,1,2012,1,09
172,34,2016,61,04A
5,0,2012,58,09
45,19,2014,3,04A
209,4,2009,3,05
12,2,2012,26,17
293,24,2015,11,06
113,3,2014,20,05
135,21,2016,31,08A
315,76,2015,7,08B
695,137,2008,25,04B
51,16,2009,20,04A
14,3,2013,72,04A
14,9,2012,52,15
593,178,2008,21,08B
522,31,2013,22,05
1408,345,2014,23,08B
35,1,2011,36,07
92,15,2016,77,03
8,8,2007,70,16
1,1,2013,72,01A
1,1,2008,21,13
1,0,2009,77,12
1,1,2015,55,22
6,6,2008,70,22
108,11,2013,35,11
25,9,2010,2,02
2,2,2014,23,13
4,0,2014,39,17
5,0,2014,3,01A
22,3,2012,49,09
3,3,2009,20,01A
24,19,2015,37,15
5,1,2009,64,02
1,1,2015,38,22
12,2,2014,43,09
42,12,2016,61,01A
319,11,2009,10,14
1,0,2010,34,02
2,2,2009,51,22
40,7,2012,20,11
156,35,2014,30,04B
10,4,2016,31,17
51,0,2011,54,07
22,22,2013,26,19
26,22,2013,48,15
227,51,2012,26,08A
12,4,2007,74,04A
10,0,2009,65,20
6,1,2011,21,09
2,1,2014,14,01A
126,4,2013,45,05
407,19,2011,42,05
46,16,2014,14,04A
236,6,2009,14,05
668,667,2012,44,18
14,3,2014,70,02
5,3,2013,18,04A
105,103,2013,39,18
1,0,2009,0,08B
298,109,2012,7,26
70,12,2014,39,08A
8,8,2014,44,19
54,14,2007,45,04B
1,1,2013,21,16
194,39,2015,32,03
28,4,2007,41,04A
194,35,2016,4,26
1238,97,2011,69,06
298,67,2011,71,04B
262,56,2009,39,26
436,20,2013,60,06
442,112,2015,35,08B
605,47,2008,44,03
9,0,2014,63,09
201,201,2009,20,18
515,513,2014,3,18
381,122,2014,22,26
49,6,2014,72,08A
40,13,2008,67,17
4,3,2008,15,13
305,305,2016,61,18
299,74,2009,22,08A
33,33,2010,71,19
16,16,2012,69,16
178,47,2009,72,26
176,14,2009,33,14
214,68,2013,20,26
23,3,2014,30,10
79,78,2009,32,16
432,85,2008,56,08B
1,1,2012,3,19
175,6,2011,51,05
231,76,2013,3,08A
155,31,2010,23,11
28,28,2013,72,18
300,18,2013,7,11
259,43,2009,44,11
41,31,2016,40,15
1,1,2008,56,13
45,5,2011,71,10
16,2,2007,45,10
28,3,2007,67,09
1,0,2015,35,13
2,0,2016,12,17
11,3,2009,45,17
19,1,2013,14,17
16,3,2014,16,02
218,24,2009,8,07
2,0,2014,18,17
6,6,2009,42,22
874,231,2008,15,08B
12,12,2011,14,22
9,3,2014,72,17
985,251,2007,30,26
10,2,2015,53,09
10,9,2014,55,24
43,14,2009,22,17
679,86,2008,67,08A
462,23,2013,58,06
15,4,2012,44,01A
4,0,2011,56,09
8,8,2011,3,22
51,49,2014,38,24
61,8,2007,22,10
1013,121,2013,1,06
1871,370,2009,71,08B
125,1,2016,17,11
1,1,2013,39,01A
3,3,2016,13,22
25,13,2013,3,17
1,1,2013,15,16
102,11,2008,25,10
302,17,2013,6,07
47,34,2012,24,15
24,24,2007,74,18
4,2,2012,,08A
171,10,2015,64,06
40,6,2009,25,09
47,9,2009,68,20
1370,74,2013,49,06
16,5,2013,39,04A
1,0,2009,11,02
27,27,2013,18,18
2,2,2009,71,13
597,25,2016,53,14
147,146,2014,14,18
24,3,2007,55,11
112,32,2012,44,04A
64,2,2012,13,07
298,47,2013,28,03
104,22,2013,14,08A
62,61,2007,41,18
18,17,2008,16,22
24,2,2016,12,08A
100,17,2009,45,08A
16,16,2013,56,16
126,21,2009,18,26
354,140,2012,35,26
6,6,2007,16,16
7,0,2011,15,09
140,37,2014,45,26
103,20,2007,38,11
26,6,2014,18,08A
1,0,2016,9,02
101,10,2016,65,03
24,9,2010,14,17
243,53,2011,26,04B
17,2,2007,64,03
9,6,2011,4,15
11,0,2015,30,10
292,24,2010,7,11
98,10,2011,75,03
299,50,2012,45,08B
44,10,2015,72,08A
278,278,2015,3,18
364,127,2015,22,26
462,131,2014,35,08B
6,0,2015,63,09
663,48,2009,70,06
3,3,2008,32,19
231,48,2010,20,26
4,2,2015,18,17
1,0,2012,45,13
22,3,2015,16,02
246,51,2010,3,08A
44,44,2010,72,18
44,10,2012,5,03
162,17,2013,23,11
542,29,2010,60,06
71,6,2016,6,10
46,8,2009,,08B
17,17,2009,51,24
36,33,2007,42,19
472,90,2012,71,08A
10,10,2013,71,19
356,10,2016,63,14
328,41,2010,28,03
239,10,2014,64,06
119,46,2010,14,08A
8,6,2011,38,01A
17,2,2008,5,04A
124,124,2010,56,16
2,0,2011,,10
17,16,2015,38,24
1,0,2012,22,13
1550,103,2010,49,06
1,1,2011,55,01A
26,3,2010,39,04A
305,32,2009,29,07
23,23,2010,18,18
9,8,2015,55,24
29,20,2008,70,24
7,1,2014,53,09
2,1,2015,72,17
476,35,2010,58,06
880,241,2012,22,08B
33,5,2015,18,08A
14,3,2009,47,04B
153,60,2015,45,26
